sample_id,视频文件名,视频标题,商品/服务类别,来源,采集日期,视频时长_秒,文案摘要
11,11.mp4,切片11 · 普通化妆品 · MISTINE蜜丝婷第7代美白防晒小黄帽直播促销,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,MISTINE蜜丝婷第7代美白防晒小黄帽直播促销，主打SPF78高倍防晒、清爽不粘腻质地及美白祛斑功效，强调连续五年销量第一及军训必备场景。
12,12.mp4,切片12 · 普通化妆品 · MISTINE蜜丝婷第七代防晒小黄帽直播推广,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,MISTINE蜜丝婷第七代防晒小黄帽直播推广，主打全波段防晒、美白祛斑特证及防水防汗功能，宣称连续五年销量领先。
13,13.mp4,切片13 · 普通化妆品 · MISTINE蜜丝婷防晒霜直播推广,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.97,MISTINE蜜丝婷防晒霜直播推广，主打SPF78 PA++++高倍防晒，强调质地清爽不粘腻、敏肌可用，并提供买赠优惠。
14,14.mp4,切片14 · 普通化妆品 · 美肤宝防晒霜直播间推广,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,美肤宝防晒霜直播间推广，主打美白淡斑与高倍防晒功效，强调防晒对防止肌肤老化的重要性。
15,15.mp4,切片15 · 普通化妆品 · 美肤宝直播间推广第四代轻妆小粉管防晒隔离乳,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.96,美肤宝直播间推广第四代轻妆小粉管防晒隔离乳，主打高倍防晒、美白淡斑及底妆修饰功效，强调国货品牌实力与代言人背书。
16,16.mp4,切片16 · 其他普通商品 · 直播间正在推销防静电竹节梳子,1221-其他普通商品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,直播间正在推销防静电竹节梳子，主播展示梳子并强调其防脱发、手感温润的特点，以低价吸引观众购买。
17,17.mp4,切片17 · 普通化妆品 · HBN品牌化妆品直播带货广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,HBN品牌化妆品直播带货广告，主推A醇晚霜、发光水乳套装，主打抗皱紧致功效，强调权威实测数据，并提供入会加赠原白霜及面膜等超值优惠。
18,18.mp4,切片18 · 服饰箱包 · 主播在直播间推荐一款白色蕾丝拼接上衣,1207-服饰箱包,教师提供公开直播/短视频广告切片,2026-09-04,29.89,主播在直播间推荐一款白色蕾丝拼接上衣，强调其遮肚显瘦、质量好的特点，并提供黑色和白色两种颜色选择，引导观众立即抢购。
19,19.mp4,切片19 · 服饰箱包 · 直播间主播展示一款圆领碎花苎麻连衣裙,1207-服饰箱包,教师提供公开直播/短视频广告切片,2026-09-04,29.92,直播间主播展示一款圆领碎花苎麻连衣裙，强调面料透气舒适、不起球，适合50-70岁女性穿着，售价99.99元。
20,20.mp4,切片20 · 其他 · 直播售卖正宗山东突围水蜜桃,0510-其他,教师提供公开直播/短视频广告切片,2026-09-04,29.94,直播售卖正宗山东突围水蜜桃，强调产地一手货源、新鲜好吃，提供坏果包赔及极速退款服务。
21,21.mp4,切片21 · 视听设备 · 海信激光电视直播推广,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.89,海信激光电视直播推广，主打星光系列S1/S2新品，强调护眼大屏、世界杯观赛神器及高色域画质。
22,22.mp4,切片22 · 视听设备 · 海信激光电视直播推广,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.89,海信激光电视直播推广，主打星光系列S1/S2新品，强调护眼大屏、世界杯观赛神器及影院级视听体验。
23,23.mp4,切片23 · 普通化妆品 · 德妃PDRN精华液直播带货广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,德妃PDRN精华液直播带货广告，主打小分子高效吸收与抗皱紧致功效，宣称能淡化抬头纹、川字纹等，并提供试用装及专场补贴优惠。
24,24.mp4,切片24 · 普通化妆品 · MISTINE蜜丝婷小蓝帽防晒霜广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,MISTINE蜜丝婷小蓝帽防晒霜广告，主打全身冷白皮效果，强调防晒、防水防汗及美白成分。
25,25.mp4,切片25 · 普通化妆品 · MISTINE蜜丝婷素颜防晒乳广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,MISTINE蜜丝婷素颜防晒乳广告，主打SPF62高倍防晒、防水防汗及提亮肤色，强调水润轻薄质地，提供拍1发4优惠活动。
26,26.mp4,切片26 · 视听设备 · 海尔官方直播间推广麦浪系列电视,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.94,海尔官方直播间推广麦浪系列电视，主打AI智慧客厅概念，具备低蓝光护眼、AI人像增强及智能体服务功能，提升观影体验。
27,27.mp4,切片27 · 普通化妆品 · 兰蔻天猫618直播促销,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,兰蔻天猫618直播促销，主推菁纯系列护肤品套装，包含精华水、面霜等，主打抗老、紧致、焕亮功效，并赠送多件奢护礼。
28,28.mp4,切片28 · 视听设备 · 海尔官方旗舰店直播带货,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.95,海尔官方旗舰店直播带货，主推麦浪套系智能家电，重点展示电视AI观影及燃气热水器AI恒温科技。
29,29.mp4,切片29 · 小家电产品 · 海尔官方旗舰店天猫618直播促销,0906-小家电产品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,海尔官方旗舰店天猫618直播促销，主推统帅三筒洗衣机、冰箱、空调及热水器等家电产品，提供限时优惠与红包活动。
30,30.mp4,切片30 · 厨卫电器 · 海尔官方旗舰店天猫618直播促销,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.9,海尔官方旗舰店天猫618直播促销，主推统帅三筒洗衣机及海尔冰箱、空调等大家电，提供多品类优惠价格与会员红包福利。
31,31.mp4,切片31 · 厨卫电器 · 海尔官方旗舰店天猫618直播促销,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.96,海尔官方旗舰店天猫618直播促销，主推空调、洗衣机、冰箱等家用电器，提供冰点好价及多重优惠权益。
32,32.mp4,切片32 · 厨卫电器 · 海尔直播间推广冰箱与油烟机,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.92,海尔直播间推广冰箱与油烟机，重点展示HCF鲜冻保湿科技锁住食材原鲜口感，以及麦浪烟机AI静音科技自动捕捉油烟的卖点。
33,33.mp4,切片33 · 其他电器 · 海尔官方旗舰店天猫618直播大促,0907-其他电器,教师提供公开直播/短视频广告切片,2026-09-04,29.95,海尔官方旗舰店天猫618直播大促，主推空调、冰箱、洗衣机等家电产品，提供限时补贴、红包及价保服务。
34,34.mp4,切片34 · 厨卫电器 · 海尔麦浪燃气热水器直播推广,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.95,海尔麦浪燃气热水器直播推广，主打AI双循环恒温科技，智能识别用水场景，解决水温忽冷忽烫问题。
35,35.mp4,切片35 · 厨卫电器 · 海尔官方旗舰店直播推广麦浪立式冰柜及超薄烟机,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店直播推广麦浪立式冰柜及超薄烟机，主打AI变频精准控温与HCF鲜冻保湿科技，强调食材保鲜及厨电融合设计。
36,36.mp4,切片36 · 厨卫电器 · 海尔官方旗舰店直播推广麦浪立式冰柜,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.97,海尔官方旗舰店直播推广麦浪立式冰柜，主打AI变频精准控温、-30℃恒温深冻及HCF鲜冻保湿科技，实现食材分区呵护与口感锁鲜。
37,37.mp4,切片37 · 视听设备 · 海尔麦浪电视618限时抢购,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔麦浪电视618限时抢购，主打AI智能音画、11种自适应模式及AI服务智能体，提供护眼观影与智能交互体验。
38,38.mp4,切片38 · 厨卫电器 · 海尔直播间展示冰箱AI变频精准控温及HCF鲜冻保湿科技,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.98,海尔直播间展示冰箱AI变频精准控温及HCF鲜冻保湿科技，强调食材保鲜效果，并推介超薄平嵌设计的麦浪油烟机。
39,39.mp4,切片39 · 厨卫电器 · 海尔官方旗舰店直播推广冰箱及油烟机,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.95,海尔官方旗舰店直播推广冰箱及油烟机，展示冰箱AI变频精准控温与HCF鲜冻保湿科技，以及油烟机超薄平嵌设计，强调食材保鲜与厨电融合。
40,40.mp4,切片40 · 厨卫电器 · 海尔官方旗舰店直播推广冰箱及油烟机,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店直播推广冰箱及油烟机，主打AI变频精准控温与HCF鲜冻保湿科技，强调食材锁鲜及超薄设计。
41,41.mp4,切片41 · 厨卫电器 · 海尔官方旗舰店直播推广高端冰箱,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.95,海尔官方旗舰店直播推广高端冰箱，主打高端分区收纳设计、AI变频精准控温及HCF鲜冻保湿科技，强调食材锁鲜与不风干。
42,42.mp4,切片42 · 厨卫电器 · 海尔官方旗舰店直播带货,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店直播带货，主推行业首创无镁棒净肤洗热水器，强调内胆免清洗、无镁渣无水垢及0元安装等核心卖点。
43,43.mp4,切片43 · 厨卫电器 · 海尔官方旗舰店直播促销,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店直播促销，主推行业首创无镁棒净肤洗热水器，同时涵盖冰箱、空调、洗衣机等大家电，提供618限时优惠及零元安装服务。
44,44.mp4,切片44 · 厨卫电器 · 海尔官方旗舰店618大促直播,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.91,海尔官方旗舰店618大促直播，主推冰箱、洗衣机、空调等家电产品，提供限时优惠价格及保价服务。
45,45.mp4,切片45 · 厨卫电器 · 海尔官方旗舰店618大促直播,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店618大促直播，主推冰箱、洗衣机、空调等家电产品，强调性价比与价格保护。
46,46.mp4,切片46 · 厨卫电器 · 海尔官方旗舰店天猫618直播促销,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.92,海尔官方旗舰店天猫618直播促销，重点展示热水器、冰箱、洗衣机等家电产品，提供限时直降、红包补贴及送装入户服务。
47,47.mp4,切片47 · 厨卫电器 · 海尔官方旗舰店天猫618直播大促,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店天猫618直播大促，主推热水器、冰箱、洗衣机等家电产品，提供限时补贴、红包瓜分及送装入户服务。
48,48.mp4,切片48 · 厨卫电器 · 海尔官方旗舰店618大促直播,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.96,海尔官方旗舰店618大促直播，主推热水器、空调、冰箱等家用电器，提供限时优惠、红包瓜分及以旧换新补贴活动。
49,49.mp4,切片49 · 普通化妆品 · 韩束品牌在618大促期间直播推广红蛮腰护肤礼盒,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,韩束品牌在618大促期间直播推广红蛮腰护肤礼盒，主打全球首创环六肽配方，强调抗皱美白功效，并提供买一送一及大额优惠券等促销活动。
50,50.mp4,切片50 · 普通化妆品 · 韩束红蛮腰第二代4.0版护肤品礼盒直播促销,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.91,韩束红蛮腰第二代4.0版护肤品礼盒直播促销，主打升级环六肽成分，宣称14天改善10大纹路，618活动期间享受破价优惠及赠品。
51,51.mp4,切片51 · 普通化妆品 · 韩束红蛮腰礼盒直播间大促,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,韩束红蛮腰礼盒直播间大促，主打抗皱紧致、美白祛斑功效，包含水乳霜及赠品，宣称适合全肤质人群。
52,52.mp4,切片52 · 普通化妆品 · 韩束品牌红蛮腰系列护肤品直播促销广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,韩束品牌红蛮腰系列护肤品直播促销广告，主打抗皱紧致与美白功效，618期间提供水乳霜套装及赠品优惠。
53,53.mp4,切片53 · 厨卫电器 · 海尔官方旗舰店直播推广麦浪系列燃气热水器,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店直播推广麦浪系列燃气热水器，主打AI双循环恒温科技，智能识别用水场景解决忽冷忽烫问题。
54,54.mp4,切片54 · 厨卫电器 · 海尔官方旗舰店直播推广麦浪系列家电,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.95,海尔官方旗舰店直播推广麦浪系列家电，重点展示AI智慧浴室及燃气热水器，强调AI双循环恒温科技和智能体服务体验。
55,55.mp4,切片55 · 厨卫电器 · 海尔官方旗舰店直播推广麦浪套系AI智慧浴室及燃气热水器,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.9,海尔官方旗舰店直播推广麦浪套系AI智慧浴室及燃气热水器，主打AI双循环恒温科技，解决水温忽冷忽烫问题，提供全程恒温沐浴体验。
56,56.mp4,切片56 · 厨卫电器 · 海尔麦浪系列家电直播广告,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.92,海尔麦浪系列家电直播广告，重点展示AI智慧浴室场景，介绍燃气热水器AI双循环恒温科技及AI识别用水场景功能，解决水温忽冷忽烫问题。
57,57.mp4,切片57 · 视听设备 · 海尔官方旗舰店直播推广麦浪系列电视,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.94,海尔官方旗舰店直播推广麦浪系列电视，主打AI智慧客厅概念，强调音随画动、低蓝光护眼及多种AI智能体服务功能。
58,58.mp4,切片58 · 视听设备 · 海尔官方旗舰店直播推广海尔麦浪系列智慧客厅产品,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.91,海尔官方旗舰店直播推广海尔麦浪系列智慧客厅产品，重点展示电视的低蓝光护眼、AI人像增强及AI观影智能体等视听功能。
59,59.mp4,切片59 · 视听设备 · 海尔麦浪电视广告,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.95,海尔麦浪电视广告，主打AI智能音画技术与11种场景自适应模式，特别强调低蓝光护眼功能以守护儿童视力，并通过AI人像增强提升观影体验。
60,60.mp4,切片60 · 厨卫电器 · 海尔官方旗舰店直播推广冰箱与油烟机,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.92,海尔官方旗舰店直播推广冰箱与油烟机，重点展示冰箱HCF鲜冻保湿科技锁住食材原鲜口感，以及油烟机超薄平嵌设计与AI智能控烟功能。
61,61.mp4,切片61 · 厨卫电器 · 海尔官方旗舰店直播推广冰箱与油烟机,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.94,海尔官方旗舰店直播推广冰箱与油烟机，主打冰箱HCF鲜冻保湿科技锁住食材原鲜口感，以及麦浪烟机AI智能控烟与超薄平嵌设计。
62,62.mp4,切片62 · 厨卫电器 · 海尔官方旗舰店直播推广麦浪立式冰柜及油烟机,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店直播推广麦浪立式冰柜及油烟机，重点展示冰柜的AI变频精准控温、-30℃深冻以及HCF鲜冻保湿科技，强调食材保鲜效果。
63,63.mp4,切片63 · 厨卫电器 · 海尔冰箱直播带货广告,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔冰箱直播带货广告，主打高端分区收纳设计、AI变频精准控温及HCF鲜冻保湿科技，强调锁住食材原鲜口感。
64,64.mp4,切片64 · 厨卫电器 · 海尔官方旗舰店直播推广麦浪立式冰柜,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.92,海尔官方旗舰店直播推广麦浪立式冰柜，主打AI变频精准控温与HCF鲜冻保湿科技，强调能锁住食材原鲜口感。
65,65.mp4,切片65 · 厨卫电器 · 海尔麦浪立式冰柜广告,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔麦浪立式冰柜广告，展示其高端分区收纳设计、AI变频精准控温以及HCF鲜冻保湿科技，强调能锁住食材原鲜口感。
66,66.mp4,切片66 · 厨卫电器 · 海尔麦浪立式冰柜广告,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.91,海尔麦浪立式冰柜广告，主打AI变频精准控温与HCF鲜冻保湿科技，能够锁住食材原鲜口感。
67,67.mp4,切片67 · 视听设备 · 海尔麦浪系列AI智慧家电广告,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.92,海尔麦浪系列AI智慧家电广告，重点展示具备低蓝光护眼和AI智能体功能的电视产品，同时推广燃气热水器等全屋智能家电。
68,68.mp4,切片68 · 视听设备 · 海尔官方旗舰店直播推广其电视产品,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.92,海尔官方旗舰店直播推广其电视产品，重点展示11种模式自适应、AI人像增强、低蓝光护眼及AI智能体等视听功能。
69,69.mp4,切片69 · 视听设备 · 海尔麦浪电视直播推广,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.94,海尔麦浪电视直播推广，主打AI智能音画、低蓝光护眼模式及AI服务智能体等卖点，强调家庭观影体验。
70,70.mp4,切片70 · 厨卫电器 · 海尔官方旗舰店直播展示麦浪套系家电,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.94,海尔官方旗舰店直播展示麦浪套系家电，重点推介拥有黄金湿度保鲜功能的冰箱以及具备AI有效风静音科技、超薄设计的烟机，强调产品智能化与烹饪体验。
71,71.mp4,切片71 · 厨卫电器 · 海尔官方旗舰店直播推广多款大家电,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.94,海尔官方旗舰店直播推广多款大家电，重点展示冰箱的HCF鲜冻保湿科技以及麦浪油烟机的超薄平嵌设计与AI智能净烟功能。
72,72.mp4,切片72 · 厨卫电器 · 海尔直播间推广大家电产品,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔直播间推广大家电产品，重点展示冰箱的-30℃恒温深冻与HCF鲜冻保湿科技，以及烟机的超薄平嵌设计。
73,73.mp4,切片73 · 厨卫电器 · 海尔官方旗舰店直播带货,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.97,海尔官方旗舰店直播带货，重点展示冰箱的AI变频精准控温与HCF鲜冻保湿科技，以及麦浪油烟机的超薄平嵌设计。
74,74.mp4,切片74 · 厨卫电器 · 海尔官方旗舰店直播推广麦浪立式冰柜,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.94,海尔官方旗舰店直播推广麦浪立式冰柜，主打高端分区收纳设计、AI变频精准控温以及HCF鲜冻保湿科技，致力于锁住食材原鲜口感。
75,75.mp4,切片75 · 厨卫电器 · 海尔官方旗舰店直播推广麦浪立式冰柜,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.94,海尔官方旗舰店直播推广麦浪立式冰柜，主打AI变频精准控温、-30℃恒温深冻及HCF鲜冻保湿科技，致力于锁住食材原鲜口感。
76,76.mp4,切片76 · 厨卫电器 · 海尔官方旗舰店直播推广麦浪立式冰柜,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.94,海尔官方旗舰店直播推广麦浪立式冰柜，主打AI变频精准控温、-30℃深冻及HCF鲜冻保湿科技，强调高端分区收纳与食材保鲜功能。
77,77.mp4,切片77 · 厨卫电器 · 海尔官方旗舰店直播推广海尔麦浪套系AI智慧厨房,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店直播推广海尔麦浪套系AI智慧厨房，重点展示594mm专业超薄零嵌冰箱的嵌入式设计与AI全空间保鲜科技。
78,78.mp4,切片78 · 厨卫电器 · 海尔官方旗舰店618大促直播,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.95,海尔官方旗舰店618大促直播，重点推荐云溪503L冰箱及MA5PRO热水器，强调超薄机身、极速加热及国补优惠价格。
79,79.mp4,切片79 · 厨卫电器 · 海尔官方旗舰店618大促直播,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.94,海尔官方旗舰店618大促直播，主播重点推荐MA5PRO电热水器，强调其高清全瓷加热管、长效保温及变频速热等核心卖点。
80,80.mp4,切片80 · 厨卫电器 · 海尔官方旗舰店618大促直播,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.92,海尔官方旗舰店618大促直播，主播重点推荐云溪系列冰箱及统帅系列家电，强调深冷保鲜、超薄零嵌及EPP净化功能，并提供限时补贴与抽奖福利。
81,81.mp4,切片81 · 厨卫电器 · 海尔官方旗舰店直播推广,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.95,海尔官方旗舰店直播推广，主推MA5系列电热水器，强调超一级能效、3300W变频速热、长效保温及618大促优惠。
82,82.mp4,切片82 · 小家电产品 · 海尔品牌电热水器促销广告,0906-小家电产品,教师提供公开直播/短视频广告切片,2026-09-04,29.95,海尔品牌电热水器促销广告，主打净水细腻呵肤、锆金加热管防腐蚀及变频速热节能卖点，配合618大促活动吸引用户下单。
83,83.mp4,切片83 · 普通化妆品 · 韩束品牌23周年庆直播带货,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,韩束品牌23周年庆直播带货，主打红蛮腰礼盒及377亮白棒等面部护肤产品，强调618破价优惠及买赠活动。
84,84.mp4,切片84 · 普通化妆品 · 韩束品牌618周年庆直播促销,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束品牌618周年庆直播促销，主推红蛮腰护肤礼盒套装，强调全球首创环六肽技术，包含洁面、水乳、精华、面霜等全套正装，主打超值价格与送礼场景。
85,85.mp4,切片85 · 普通化妆品 · 韩束品牌618大促直播,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.91,韩束品牌618大促直播，主推红蛮腰二代抗皱紧致套装及377亮白棒，展示SGS测试报告强调14天改善皱纹效果，并提供免费试用及多重优惠。
86,86.mp4,切片86 · 小家电产品 · 海尔官方旗舰店618直播促销,0906-小家电产品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店618直播促销，主推MHBE785WU1型号三筒洗衣机，宣传智能投放、内衣袜子专洗等特色功能，并提供换新补贴及延保服务。
87,87.mp4,切片87 · 小家电产品 · 海尔官方旗舰店618大促直播,0906-小家电产品,教师提供公开直播/短视频广告切片,2026-09-04,29.95,海尔官方旗舰店618大促直播，主推MHBE785WU1洗烘套装，主打小筒专属特色洗（内裤、袜子），并赠送纤醒懒人洗护套装，强调智能投放与十年电机延保。
88,88.mp4,切片88 · 小家电产品 · 海尔官方旗舰店直播推广一体三筒洗烘一体机,0906-小家电产品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店直播推广一体三筒洗烘一体机，主打智能投放、分区洗烘及十年电机延保等卖点，并提供618限时优惠及赠品。
89,89.mp4,切片89 · 厨卫电器 · 海尔官方旗舰店618大促直播,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.9,海尔官方旗舰店618大促直播，重点推介Leader品牌三筒洗烘一体机及统帅冰箱等家电产品，主打智能洗烘、大容量保鲜功能及限时补贴优惠。
90,90.mp4,切片90 · 厨卫电器 · 海尔官方旗舰店618大促直播,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.92,海尔官方旗舰店618大促直播，主推Leader三筒一体洗烘套装及冰箱等家电，强调AI动平衡、标准尺寸免改柜及多重优惠补贴。
91,91.mp4,切片91 · 小家电产品 · 海尔官方旗舰店618大促直播,0906-小家电产品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店618大促直播，主推Leader品牌三筒三烘一体洗衣机，强调AI动平衡与PTC柔烘技术，提供限时补贴价及洗护套装赠品。
92,92.mp4,切片92 · 厨卫电器 · 海尔官方旗舰店618大促直播,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.91,海尔官方旗舰店618大促直播，主推Leader三筒一体洗烘套装，强调标准尺寸无需改柜、AI动平衡及PTC烘干功能，提供限时补贴价。
93,93.mp4,切片93 · 厨卫电器 · 海尔官方旗舰店直播推广Leader品牌三筒一体洗烘护机,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.92,海尔官方旗舰店直播推广Leader品牌三筒一体洗烘护机，主打AI动平衡、PTC柔烘及标准尺寸无需改柜等卖点，参与618大促活动。
94,94.mp4,切片94 · 普通化妆品 · 韩束品牌618及520促销直播,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束品牌618及520促销直播，主推红蛮腰抗皱礼盒与377美白棒套装，强调买正装送大量赠品及官方正品保障。
